,mean,date
453493.0,15497.681039254614,2012-02-01
453495.0,15484.153071058578,2012-02-01
453497.0,15372.208058202694,2012-02-01
453499.0,15447.57167257302,2012-02-01
453801.0,15371.7981823896,2012-02-01
453803.0,15446.03266838284,2012-02-01
453805.0,15382.573792773355,2012-02-01
453807.0,15409.66827343267,2012-02-01
453809.0,15285.42253184552,2012-02-01
454061.0,15351.120511217525,2012-02-01
454063.0,15095.210310941844,2012-02-01
454065.0,15056.082644644232,2012-02-01
454067.0,15059.521846745203,2012-02-01
454069.0,15102.886140057994,2012-02-01
452100.0,14841.995005496688,2012-02-01
